Nombre,URL,Lenguaje Principal,AWS,Azure,Docker,GitHub Actions,Google Cloud,Heroku,Netlify,Terraform,Vercel
proyecto-si8811a-2024-ii-u2-web_development,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u2-web_development,TypeScript,True,False,True,True,False,False,False,False,True
proyecto-si8811a-2024-ii-u2-apis-y-funciones-jarro-y-valle-1,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u2-apis-y-funciones-jarro-y-valle-1,C#,False,False,True,True,False,False,False,False,False
proyecto-si885-2024-ii-u2-tg02agredacastanedacontrerasmalagaortiz,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u2-tg02agredacastanedacontrerasmalagaortiz,Python,False,True,False,True,False,False,False,True,False
proyecto-si8811b-2024-ii-u2-infra,https://github.com/UPT-FAING-EPIS/proyecto-si8811b-2024-ii-u2-infra,JavaScript,False,False,False,False,False,False,False,False,False
proyecto-si885-2024-ii-u2-tg04lunaquispemamanihernandezmeza,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u2-tg04lunaquispemamanihernandezmeza,HCL,False,True,False,True,False,False,False,True,False
proyecto-si885-2024-ii-u2-tg05chavezarcelirasoto,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u2-tg05chavezarcelirasoto,HCL,True,False,False,True,False,False,False,True,False
proyecto-si8811b-2024-ii-u2-backend_sync,https://github.com/UPT-FAING-EPIS/proyecto-si8811b-2024-ii-u2-backend_sync,HTML,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u2-contreras_paja_hernandez,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u2-contreras_paja_hernandez,HTML,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u2-caxi_aguilar_chata,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u2-caxi_aguilar_chata,HTML,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u2-chambi_floresq_floresm_leyva,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u2-chambi_floresq_floresm_leyva,Python,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u2-floresR_salinas_ticahuanca,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u2-floresR_salinas_ticahuanca,C#,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u2-ayma_tapia_poma,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u2-ayma_tapia_poma,HTML,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u2-chambilla_llantay,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u2-chambilla_llantay,HTML,False,False,True,True,False,False,False,False,False
